entity_group,entity_normalized,count,word_versions
LOCATION,ava,1,['Ava']
LOCATION,avanga,1,['Avanga']
LOCATION,avdiika,4,['Avdiika']
LOCATION,avdiikva,2,['Avdiikva']
LOCATION,avdiiv,1,['Avdiiv']
LOCATION,avdiivika,1,['Avdiivika']
LOCATION,avdiivka,682,['Avdiivka']
LOCATION,avdiivka –,2,['Avdiivka –']
LOCATION,avdiivkaamid,1,['Avdiivkaamid']
LOCATION,avdiivkaand,5,['Avdiivkaand']
LOCATION,avdiivkaear,1,['Avdiivkaear']
LOCATION,avdiivkai,7,['Avdiivkai']
LOCATION,avdiivkain,8,['Avdiivkain']
LOCATION,avdiivkain ukraine,4,['Avdiivkain Ukraine']
LOCATION,avdiivkalast,1,['Avdiivkalast']
LOCATION,avdiivkasaw,1,['Avdiivkasaw']
LOCATION,avdiivkato,1,['Avdiivkato']
LOCATION,avdiivka“,1,['Avdiivka“']
LOCATION,avdivka,1,['Avdivka']
LOCATION,avdivvka,2,['Avdivvka']
LOCATION,aviapark,1,['Aviapark']
LOCATION,avos,1,['Avos']
LOCATION,avozstal,1,['Avozstal']
LOCATION,avtozavodskaya,1,['Avtozavodskaya']
LOCATION,ax les thermes,1,['Ax Les Thermes']
LOCATION,azerbaijan,172,['Azerbaijan']
LOCATION,azeroth,1,['Azeroth']
LOCATION,azo,14,['Azo']
LOCATION,azot,26,['Azot']
LOCATION,azov,150,['Azov']
LOCATION,azov regiment,1,['Azov Regiment']
LOCATION,azov sea,41,['Azov Sea']
LOCATION,azov seaaft,2,['Azov Seaaft']
LOCATION,azov sea”,2,['Azov Sea”']
LOCATION,azovmash,2,['Azovmash']
LOCATION,azovregiment,1,['Azovregiment']
LOCATION,azovske,1,['Azovske']
LOCATION,azovstal,467,['Azovstal']
LOCATION,azovstal & mariupol,1,['Azovstal & Mariupol']
LOCATION,azovstal iron and steel works,1,['Azovstal Iron and Steel Works']
LOCATION,azovstal steel plant,2,['Azovstal Steel Plant']
LOCATION,azovstaland mariupolis,1,['Azovstaland Mariupolis']
LOCATION,azovstalste,5,['Azovstalste']
LOCATION,azovstal”,4,['Azovstal”']
LOCATION,b,15,['B']
LOCATION,ba,25,['Ba']
LOCATION,babi yar,2,['Babi Yar']
LOCATION,babylon,4,['Babylon']
LOCATION,babyn yar,17,['Babyn Yar']
LOCATION,backdoor bar,1,['Backdoor Bar']
LOCATION,badajoz,1,['Badajoz']
LOCATION,badakhshan,1,['Badakhshan']
LOCATION,badan,1,['Badan']
LOCATION,baden,4,['Baden']
LOCATION,baden - baden,1,['Baden - Baden']
LOCATION,baden - württemberg,4,['Baden - Württemberg']
LOCATION,bagatyr,1,['Bagatyr']
LOCATION,baghdad,11,['Baghdad']
LOCATION,bagheria,1,['Bagheria']
LOCATION,bagram,1,['Bagram']
LOCATION,bahamas,1,['Bahamas']
LOCATION,bahatyr,1,['Bahatyr']
LOCATION,bahkmut,4,['Bahkmut']
LOCATION,bahrain,11,['Bahrain']
LOCATION,bahrianyi park,1,['Bahrianyi Park']
LOCATION,baikal,1,['Baikal']
LOCATION,baikonur,4,['Baikonur']
LOCATION,baikonur cosmodrome,2,['Baikonur Cosmodrome']
LOCATION,baikove,1,['Baikove']
LOCATION,bairak,1,['Bairak']
LOCATION,bakal,3,['Bakal']
LOCATION,bakhchysarai,1,['Bakhchysarai']
LOCATION,bakhmach,1,['Bakhmach']
LOCATION,bakhmachin,1,['Bakhmachin']
LOCATION,bakhmat,1,['Bakhmat']
LOCATION,bakhmout,1,['Bakhmout']
LOCATION,bakhmu,291,['Bakhmu']
LOCATION,bakhmut,2038,['Bakhmut']
LOCATION,bakhmut local history museum,1,['Bakhmut Local History Museum']
LOCATION,bakhmut ”,1,['Bakhmut ”']
LOCATION,bakhmutabout,1,['Bakhmutabout']
LOCATION,bakhmutam,2,['Bakhmutam']
LOCATION,bakhmutan,4,['Bakhmutan']
LOCATION,bakhmutand,5,['Bakhmutand']
